datetime,teamperature,humidity
2022-02-19  05:47:01,20,36
2022-02-19  05:47:35,20,36
2022-02-19  05:48:08,20,36
2022-02-19  05:48:42,20,36
2022-02-19  05:49:15,20,36
2022-02-19  05:49:49,20,36
2022-02-19  05:50:22,20,36
2022-02-19  05:50:56,20,36
2022-02-19  05:51:29,20,36
2022-02-19  05:52:03,20,36
2022-02-19  05:52:36,20,36
2022-02-19  05:53:10,20,36
2022-02-19  05:53:43,20,36
2022-02-19  05:54:17,20,36
2022-02-19  05:54:50,20,36
2022-02-19  05:55:24,20,36
2022-02-19  05:55:57,20,36
2022-02-19  05:56:31,20,36
2022-02-19  05:57:04,20,36
2022-02-19  05:57:38,20,36
2022-02-19  05:58:11,20,36
2022-02-19  05:58:45,20,36
2022-02-19  05:59:19,20,36
2022-02-19  05:59:52,20,36
2022-02-19  06:00:26,20,36
2022-02-19  06:00:59,20,36
2022-02-19  06:01:33,20,36
2022-02-19  06:02:06,20,36
2022-02-19  06:02:40,20,36
2022-02-19  06:03:13,20,36
2022-02-19  06:03:47,20,36
2022-02-19  06:04:20,20,36
2022-02-19  06:04:54,20,36
2022-02-19  06:05:27,20,36
2022-02-19  06:06:01,20,36
2022-02-19  06:06:34,20,36
2022-02-19  06:07:08,20,36
2022-02-19  06:07:41,20,36
2022-02-19  06:08:15,20,36
2022-02-19  06:08:48,20,36
2022-02-19  06:09:22,20,36
2022-02-19  06:09:55,20,36
2022-02-19  06:10:29,20,36
2022-02-19  06:11:02,20,36
2022-02-19  06:11:36,20,36
2022-02-19  06:12:09,20,36
2022-02-19  06:12:43,20,36
2022-02-19  06:13:16,20,36
2022-02-19  06:13:50,20,36
2022-02-19  06:14:23,20,36
2022-02-19  06:14:57,20,36
2022-02-19  06:15:30,20,36
2022-02-19  06:16:04,20,36
2022-02-19  06:16:37,20,36
2022-02-19  06:17:11,20,36
2022-02-19  06:17:44,20,36
2022-02-19  06:18:18,20,36
2022-02-19  06:18:51,20,36
2022-02-19  06:19:25,20,36
2022-02-19  06:19:58,20,36
2022-02-19  06:20:32,20,36
2022-02-19  06:21:05,20,36
2022-02-19  06:21:39,20,36
2022-02-19  06:22:12,20,36
2022-02-19  06:22:46,20,36
2022-02-19  06:23:19,20,36
2022-02-19  06:23:53,20,36
2022-02-19  06:24:26,20,36
2022-02-19  06:25:00,20,36
2022-02-19  06:25:33,20,36
2022-02-19  06:26:07,20,36
2022-02-19  06:26:40,20,36
2022-02-19  06:27:14,20,36
2022-02-19  06:27:47,20,36
2022-02-19  06:28:21,20,36
2022-02-19  06:28:54,20,36
2022-02-19  06:29:28,20,36
2022-02-19  06:30:01,20,36
2022-02-19  06:30:35,20,36
2022-02-19  06:31:08,20,36
2022-02-19  06:31:42,20,36
2022-02-19  06:32:15,20,36
2022-02-19  06:32:49,20,36
2022-02-19  06:33:22,20,36
2022-02-19  06:33:56,20,36
2022-02-19  06:34:29,20,36
2022-02-19  06:35:03,20,36
2022-02-19  06:35:36,20,36
2022-02-19  06:36:10,20,36
